Max. Equipment Designation,Best glide ratio,Cruising altitude,Fuel with max payload,"Ground clearance, fuselage","Height, alternate configuration","Height, fuselage","Height, overall",Landing run,"Length, alternate configuration","Length, fuselage",Max certified altitude,Max fuel weight,Max launch weight,Propeller diameter,T-O run,T-O speed,Tailplane span,Weapons bay volume,"Weight empty, equipped","Width, fuselage","Width, overall",Wing aspect ratio,g limits,Absolute ceiling [m],Service ceiling [m],Operating altitude [m],Cruising speed [m/s],Loitering speed [m/s],Max level speed [m/s],Max operating speed [m/s],Never-exceed speed [m/s],Stalling speed [m/s],Rate of climb [m/s],Endurance [h],Gross wing area [m2],Max T-O weight [kg],Max payload [kg],"Operating weight, empty [kg]",Payload with max fuel [kg],Weight empty [kg],"Length, overall [m]",Wing span [m],Radius of operation [km],Range [km]
F-330,,,,,,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,,,,,,,,,,,,,,,3000,,22.22,,33.34,,,,,8.0,,23.7,8.0,,,,2.27,3.3,,60.0
FT-150 X1,,,,,,,,,,,,,,,,,,,,,,,,,,,26.75,,,,,,,18.0,,20.0,,,,,1.7,3.3,185.0,
Falcon,,,,,,,430 mm (1 ft 5 in) 430 mm (1 ft 5 in),,,,,,,,,,,,,,,,,,3660,4572,13.89,,23.15,,,,,1.0,,5.44,1.13,,,,1.37,2.44,,48.3
Flexrotor,,,,,,,,,,,,,,1.85 m (6 ft 3/4 in) (standard rotor) 2.2 m (7 ft 2 1/2 in) (hot/high/heavy rotor),,,,,,180 mm (7 in),,,,,6500,,23.61,,39.72,,,,1.0,33.0,,25.0,7.7,,,,2.0,3.0,,200.0
FlyEye,,,,,,,,,,,,,,,,,,,,,,,,,3000,1000,,,,33.34,33.33,10.56,,2.5,,12.0,2.0,,,,1.8,3.6,29.6,180.0
FlyEye 3.0,,,,,,,,,,,,,,,,,,,,,,,,,3000,1000,,,,33.34,,10.56,,2.5,,12.0,2.0,,,,1.8,3.6,29.6,180.0
Fulmar X,,,,,,500 mm (1 ft 7 3/4 in) 500 mm (1 ft 7 3/4 in),500 mm (1 ft 7 3/4 in) 500 mm (1 ft 7 3/4 in) 500 mm (1 ft 7 3/4 in) 500 mm (1 ft 7 3/4 in),,,,,,20.0 kg (44 lb) 20.0 kg (44 lb),,,,,,,,,,,,4000,,27.78,,,,,,,8.0,,20.0,4.0,,,,1.2,3.0,,70.0
G1 Guerrero,,,,,,,,120 m (394 ft),,,,,,,120 m (394 ft),,,,,,,,,,3600,1200,,15.28,36.11,,,,,4.0,,30.0,,,,,,2.8,60.0,
GoldenEye 50,,,,,,460 mm (1 ft 6 in),850 mm (2 ft 9 1/2 in) 850 mm (2 ft 9 1/2 in),,,,,,,,,,,,,,,,,,1525,,28.29,,51.44,,,,,1.0,,7.7,,,,,,1.37,50.0,
Gull 24,,,,,,,,,,,,,,,,,,,,,,,,,,,28.29,,42.18,,,,,5.0,,18.0,2.0,,,,2.7,2.4,,
Harpia,,,,,,,440 mm (1 ft 5 1/4 in),,,,,,,,,,,,,,,,,,5000,,13.89,,,41.67,,,,12.0,,23.0,5.0,17.5,,,2.0,4.0,,1200.0
Horus FT-100,,,,,,,,,,,,,,,,,,,,,,,,,,,16.98,,,,,,,1.0,,7.0,3.0,,,,1.9,2.7,9.07,18.5
IA-17,,,,,220 mm (8 3/4 in) (extended gasoline'/'extended electric' configurations) 250 mm (9 3/4 in) (basic' configuration),,,,1.15 m (3 ft 9 1/4 in) (basic' configuration) 1.27 m (4 ft 2 in) (IA-17 Manta 'extended gasoline'/'extended electric' configurations),,,,,,,,,,,,,,,,4500,,,,55.56,,,,,2.5,,7.5,1.0,,,5.0,,1.8,10.0,
K1000ULE,,,,,,,,,,,,,,,,,,,,,,,,,6095,,15.43,,,,,,,24.0,,19.3,2.49,,,,3.0,5.0,,1610.0
Kasper,,,,,,,300 mm (11 3/4 in) 300 mm (11 3/4 in),,,,,,,,,,,,,,,,,,3000,,,,33.34,,,,,2.0,,9.0,1.0,,,,1.0,2.2,25.0,
Leleka-100,,,,,,,352 mm (1 ft 1 3/4 in) 352 mm (1 ft 1 3/4 in),,,,,,,,,,,,,,,,,,,1500,16.67,,33.34,,,,,2.5,,6.0,,,,,1.135,1.98,180.0,15.0
MUAS,,,,,,,,,,,,,,,,,,,,,,,,,5000,,12.5,,30.56,,,,,0.5,,4.5,1.2,,,,1.3,1.8,,5.0
Manta,,,,,,,620 mm (2 ft 1/2 in) 620 mm (2 ft 1/2 in),,,,,,,,,,,13 l (0.46 cu ft),,,,,,,4875,,20.06,,56.59,,,18.01,,6.0,,27.0,6.8,,,,1.9,2.67,27.7,
Micro Falcon LE,,,,,,,,,,,,,,,,,,,,,,,,,4570,,18.01,,33.44,,,,,4.0,,10.0,2.0,,,,,2.0,,40.0
Micro Falcon LP,,,,,,,,,,,,,,,,,,,,,,,,,4570,,18.01,,33.44,,,,,2.0,,6.0,2.0,,,,,1.8,,40.0
Nimble Loong,,,,,,,,,,,,,,,,,,,,,,,,,3000,,41.67,,,,,,,4.0,,30.0,3.0,,,,,3.0,,
Nova F6500,,,,,,,,,,,,,,,,,,,,,,,,,3050,,15.64,,31.28,,,,,1.5,,6.8,,,,,1.7,2.74,,80.4
Orbiter 1,,,,,,,,,,,,,,,,,,,,,,,,,5485,,,,36.01,,,,,,,10.3,1.5,,,,1.0,2.2,,100.0
Orbiter 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,2.0,,,,1.2,3.0,,100.0
Orbiter 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.72,,,,,,,13.0,1.8,,,,0.9,3.0,,100.0
Orbiter 2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.72,,,,,,,13.0,1.8,,,,0.9,3.0,,100.0
Orbiter 4,,,,,,,,,,,,,,,,,,,,,,,,,5485,,,,36.01,,,,,,,10.3,5.5,,,,1.2,5.0,,100.0
Orlan-10,,,,,,,,,,,,,,,,,,,,,,,,,5000,,25.0,,41.67,,,,,10.0,,14.0,2.5,,,,1.8,3.1,98.2,
Orlan-10E,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,41.67,,,,,10.0,,18.0,3.0,,,,,,150.0,100.0
P550,,,,,,,600 mm (1 ft 11 1/2 in),,,,,,,,,,,,,,,,,,4267,,,,26.75,,,,,5.0,,24.9,6.8,,,,0.6,1.8,,40.0
Penguin B,,,,163 mm (6 1/2 in),,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,,,,,30 m (98.4 ft),,,,,290 mm (11 1/2 in),,,,,5000,,22.02,,36.01,,,13.02,,20.5,,21.5,10.0,,11.5,11.5,2.27,3.3,,
Penguin B VTOL,,,,,,,840 mm (2 ft 9 in) 840 mm (2 ft 9 in),,,,,,,,,,,,,,,,,,4000,,24.95,,,,,,,8.0,,30.0,7.2,,11.7,17.2,2.43,3.9,,
